ChEMBL ID,Smiles
CHEMBL4982689,Cn1ncnc1C(=O)NC[C@H]1CC1(C)C
CHEMBL3644740,Cc1nc2cnc3ccc(C#CCNC(=O)c4cncn(Cc5ccc(F)c(F)c5)c4=O)cc3c2n1CCN(C)C
CHEMBL5414269,N#Cc1c(-c2ccccc2)cccc1N1C(=O)c2ccc(C(=O)N3CCOCC3)cc2C1=O
CHEMBL3356010,N[C@H]1CC[C@H](Nc2nccc(-c3cccnc3Oc3ccc(NS(=O)(=O)c4ccccc4Cl)c4ccccc34)n2)CC1
CHEMBL1859408,COc1ccc(-c2nc(Cn3cc(CCN)c4ccccc43)co2)cc1
CHEMBL467934,CCCC/N=C1\SC(=O)C(=O)N1CCCNc1ccnc2cc(Cl)ccc12
CHEMBL3472750,CCc1nc(NC2CCCN(C(=O)c3cccs3)C2)c2cnn(C)c2n1
CHEMBL2180880,COc1ccccc1C1=C(c2c[nH]c3ncccc23)C(=O)NC1=O
CHEMBL1973376,CC(C)(C)N1C(=O)c2ccccc2C1(O)C(F)(F)F
CHEMBL330137,C=CCC(=O)NCCc1c(-c2ccccc2)oc2ccc(OC)cc12
CHEMBL3326267,CC(C)Cn1c(=O)n(C)c(=O)c2nc(-c3[nH]nnc3CCCO)c(Cc3cccc4ccccc34)nc21
CHEMBL5274809,CCNC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)C[C@@H](O)OC[C@](C)(C=O)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
CHEMBL1863487,Clc1ccc(C(c2cccnc2)N2CCN(c3ccccc3)CC2)cc1
CHEMBL239711,CC(C)(C)C1CCC2(CC1)CC1(CCCCC1)OO2
CHEMBL1779985,CCC[C@@H]1C[C@@H](C(=O)NCc2cccc(C)n2)CN(Cc2nc(-c3ccccc3)oc2C)C1
CHEMBL478557,OC[C@H]1O[C@H](CNCc2ccccc2F)[C@@H](O)[C@@H]1O
CHEMBL173311,C=C1/C(=C/C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC#C[C@]4(C)CO4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
CHEMBL5194557,CCCCCCCCN(CCCCCCCC)C(=O)N(CCCCCCCC)CCCCCCCC
CHEMBL488607,C=C1C(=O)O[C@]2(C)CC[C@@H]1C[C@@H]1O[C@@]1(C)CC[C@H](OC(C)=O)[C@@]1(C)CC[C@@H]2O1
CHEMBL4445226,COc1cc(Cl)nc(NC(=O)[N-]S(=O)(=O)Oc2ccccc2C(=O)OCC(F)(F)F)n1.[Na+]
CHEMBL70428,CN(C)CCC1CN=C(S)c2cccnc2O1
CHEMBL3792674,Oc1ccc(-c2cc3cc(Cl)ccc3o2)cc1
CHEMBL4596117,CC(=O)N(C(C)=O)c1cc(C(=O)Nc2cc(C(=O)NCCC(=N)N)n(C)c2)n(C)c1
CHEMBL1784282,CCOc1cc(Cl)c(Cc2ncc(-c3ccsc3)s2)cc1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
CHEMBL3974349,COC1CCC2(CC1)Cc1ccc(-c3cccc(OC(F)(F)F)c3)cc1C21C=C(N)N(C)C1=O
CHEMBL449977,COc1cccc(C2(CNC(=O)Nc3c(C(C)C)cc(N)cc3C(C)C)CCN(c3ccccc3)CC2)c1.Cl.Cl
CHEMBL1189138,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(Cc2ccccn2)CC1
CHEMBL4533909,Oc1ccc2c(c1)CCCC(c1ccc3[nH]ccc3c1)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1
CHEMBL4964684,COc1cccc2c1OCCCn1cc(nn1)CCN(C(=O)CC1CCN(C)CC1)CCNC(=O)[C@H](Cc1ccccc1)NC2=O
CHEMBL2348029,CC(C)=CCN1Cc2c(OCCOCCOCCOCCOCCOCCOCCOCCO)ccc([N+](=O)[O-])c2NC[C@@H]1C
CHEMBL2106848,CCCCCCCC(C)c1cc(OC(=O)CCCN(CC)CC)c2c(c1)OC(C)(C)C1=C2CC(C)CC1
CHEMBL3402425,COc1cc(OC)c2c(c1Cl)O[C@@]1(C=C([S+]([O-])Cc3ccccc3)C(=O)C[C@H]1C)C2=O
CHEMBL388775,C=C1C(=O)[C@]23C[C@@H](O)[C@H]1C[C@H]2[C@]1(C)CCC[C@](C)(CO)[C@H]1C[C@H]3O
CHEMBL5542271,CC(=O)Nc1ccc(S(=O)(=O)Oc2ccccc2CN(Cc2ccco2)C(=O)c2ccccc2F)cc1
CHEMBL5970344,Cn1cc(-c2c[nH]c(=O)c3[nH]nnc23)cn1
CHEMBL4912771,Cc1cnc(C(=O)N2CCC[C@H]2c2nc(CCOCc3ccccc3)no2)cn1
CHEMBL77505,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C(C)(C)C)CC2)cc1
CHEMBL4448202,C/C1=C\C[C@H](O)[C@@H](C)C[C@H]2OC(=O)[C@@H](C)[C@@H]2CC1
CHEMBL4548645,O=[N+]([O-])c1ccc(Nc2cccc(OC3CCCC3)c2)nc1
CHEMBL3763733,COc1cc(/C=C/C(=O)N[C@@H](COC(=O)c2ccccc2)C(=O)NC2CCCCC2)cc(OC)c1
CHEMBL3954584,NC(=O)C12CC3CC(C1)C(NC(=O)c1cccc(NS(=O)(=O)c4ccc(C(F)(F)F)c(Cl)c4)c1)C(C3)C2
CHEMBL5754975,Cn1cnc2cc(-c3cnc(N4CCC(N)CC4)nc3-c3ccc(C#N)cc3)ccc21
CHEMBL4174010,CCOC(=O)c1c(CC)c2ccc(OCCO[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2oc1=O
CHEMBL1624004,COc1ccccc1CNCc1ccc(OC)c(OC)c1OC
CHEMBL5190929,COc1ccc(NC(=O)Cn2c(=O)c3ccccc3n(CC(=O)Nc3cc([123I])c(OC)cc3OC)c2=O)cc1
CHEMBL1321708,O=C(CCCn1c(SCc2cc(=O)n3cc(Cl)ccc3n2)nc2ccccc2c1=O)NCC1CCCO1
CHEMBL234065,COc1ccc(-c2nc(Nc3ccc(CCO)cc3)ncc2C#N)cc1
CHEMBL5799293,Cc1cccc(OCC(C)C)c1-n1nc2c(c1-c1ccc(NC(N)=O)cc1)CN(c1ncc(C(F)(F)F)cc1F)CC2
CHEMBL4129595,C=CCCCCCCCCC/C=C1/C(=O)O[C@@H](C)[C@H]1O
CHEMBL6029435,CCNC(C(=O)Nc1ccc(-c2cn[nH]c2)cc1)c1cccc(F)c1
CHEMBL4947492,COc1ccc(C(=O)N2CC(O)(C(F)F)C2)cn1
CHEMBL1588154,CCOC(=O)c1cccc(NC(=O)c2cc(C)nn2-c2ccccc2)c1
CHEMBL3334832,C[C@@]12CC/C=C(/CO)CC[C@@H]3/C(=C\c4ccsc4)C(=O)O[C@@H]3[C@@H]1O2
CHEMBL2431189,O=C1c2ccc(F)cc2CCC2CC[C@@H](c3noc(-c4ccc(F)cn4)n3)CN12
CHEMBL1568982,CCOC(=O)N1CCN(c2c(O)nc3ccc(Cl)cc3c2-c2ccccc2)CC1
CHEMBL4892455,O=C(CC1CCC1)NC1CC(F)(F)C1
CHEMBL5005341,CC(C)OCCN1CCN(C(=O)Nc2ccc(C(F)(F)F)nc2)CC1
CHEMBL3299000,CN(C)CCCOc1ccc2c(c1)nc(O)n2-c1ccccc1
CHEMBL5307713,CC(NC(=O)CN(C)S(=O)(=O)c1cccs1)c1ccc2ccccc2c1
CHEMBL303735,O=c1nc(/N=C\N2CCOCC2)ccn1C1CC(F)C(CO)O1
CHEMBL2058428,C/N=C1\N(C)C(=O)/C(=C\c2c[nH]c3cc(Br)ccc23)N1C
CHEMBL260450,O=C(/C=C/c1ccc(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
CHEMBL4177053,COc1ncc(N2CCOCC2)cc1S(=O)(=O)Nc1ccnc(-c2ccc(CN(C)C)cc2)c1
CHEMBL4071925,CC(=O)O[C@H]1CC(C)(C)C2=C(O)C(=O)c3cc(C(C)C)c(O)c(O)c3[C@@]2(C)C1
CHEMBL4567964,CS(=O)(=O)CCCNc1ccccc1F
CHEMBL4579001,CCOc1ccccc1CNC(=O)C1CCN(C)CC1
CHEMBL5944979,O=C(O)CCn1c(=O)[nH]/c(=N\c2ccc(Oc3cccc(F)c3)cc2)n(Cc2ccc(Cl)cc2)c1=O
CHEMBL4549900,Cl.Cl.Cl.O=C(NCc1ncc(F)cc1F)c1csc(CCNCCc2nc3cc(F)ccc3[nH]2)n1
CHEMBL1419720,COc1ccccc1NC(=O)CCN1CCN(c2ccc(Cl)cc2)CC1
CHEMBL1928799,CN(Cc1cn(C2CCCCC2O)nn1)CC1CCCCC1
CHEMBL1835512,O=C(c1cc(Cl)cc(Cl)c1)c1cc(Br)ccc1OCCn1ccc(=O)[nH]c1=O
CHEMBL3438042,CN(C)C(=O)c1cc(-c2ccncc2)[nH]n1
CHEMBL1392693,Cc1ccc2nc(-c3cccnc3)c(Nc3ccccc3C)n2c1
CHEMBL3486873,COC(=O)C1CCN(C(=O)c2ccc(N(C)S(C)(=O)=O)c(C)c2)CC1
CHEMBL75785,CO[C@]1(NC(=O)C(F)(F)F)C(=O)N2[C@@H](C(=O)OCc3ccccc3)C(C)(C)S(=O)(=O)[C@@H]21
CHEMBL280384,N#Cc1ccc(Cn2ccnc2)cc1[S+]([O-])c1ccc(Cl)cc1Cl
CHEMBL5809704,O=c1c2c(O)cc(O)cc2c(Br)cn1-c1ccc(O)cc1
CHEMBL2287684,CCOC(=O)c1nc(C)nc(NCc2ccccc2)n1
CHEMBL5821272,CNc1cc(Nc2cccn(-c3cccc(C)n3)c2=O)nc2c(C(=O)NC3CCC3)cnn12
CHEMBL5874587,C=CC(=O)N1CCCC(Nc2nc(Nc3ccc(N4CCN(C5COC5)CC4C)cn3)c3c(c2F)CNC3=O)C1
CHEMBL190691,CN1[C@@H](CCc2cccc3ccccc23)CCC[C@H]1CCc1cccc2ccccc12
CHEMBL3655264,COc1cc(-c2nc(C3CCC3)n3ncnc(N)c23)ccc1Oc1ccccc1
CHEMBL1097298,CC(C)=CCC/C(C)=C/CC/C(C)=C/CSc1ccccc1C(=O)N[C@@H](C)C(=O)OCCCCOc1no[n+]([O-])c1S(=O)(=O)c1ccccc1
CHEMBL3690796,CC(=O)NC(C)Cc1ccc(C#Cc2ccc(OCC3CCOCC3)cc2)cc1
CHEMBL2435135,CC(C)[C@@H]1N[C@H](c2ccccc2)C(=O)NC1=O
CHEMBL1194464,N=C(N)Nc1nc(C(=O)Nc2nc3ccc(Cl)c(C(F)(F)F)c3s2)cs1
CHEMBL51336,CC(Oc1ccc(Oc2cnc3ccc([N+](=O)[O-])cc3n2)cc1)C(=O)O
CHEMBL6063632,O=[SH](=O)Nc1cccc(-c2cccc(-c3csc(-c4ccccc4)n3)c2)c1
CHEMBL5420926,O=C(O)C1(c2cccc(-c3cccc(OCc4c(-c5c(Cl)cccc5Cl)noc4C4CC4)c3)c2)CC1
CHEMBL1191,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
CHEMBL1558149,COc1cccc(NC(=O)Nc2cc(C(=O)NC(C)C)ccc2N2CC3CC(C2)c2cccc(=O)n2C3)c1
CHEMBL191811,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)C.[Br-]
CHEMBL1184309,Cn1cc[n+](COC2CCCCC2)c1/C=N/O
CHEMBL4877840,COc1cc2c(cc1O)CC1c3c(cc(OC)c(O)c3-2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1
CHEMBL4522866,Cc1nn(C)c(C(=O)NC2CC2)c1Br
CHEMBL5074672,Cc1cc(Nc2cc(N3CC[C@H](N(C)C)C3)nc(N[C@H]3CCN(C(=O)c4cccc(Cl)c4F)C3)n2)n[nH]1
CHEMBL1983717,CCc1n[nH]c(=O)n1NC(=O)c1ccccc1C(=O)O
CHEMBL1818411,Fc1ccc(NC(=S)NC2C3CC4CC(C3)CC2C4)c(F)c1F
CHEMBL1447317,CCS(=O)(=O)N1CCC[C@H]2CN3CCc4cc(OC)ccc4[C@@H]3C[C@@H]21
CHEMBL4643568,Cc1ccc(-n2c(=O)n(Cc3cc4cc(Cl)ccc4n3CCCC#N)c3cnccc32)cc1
CHEMBL5563484,Cc1ccc(-c2ccc3c(c2)N(C)C(=O)[C@@H](NC(=O)c2n[nH]c(Cc4ccccc4)n2)CO3)cc1
CHEMBL5874923,Cc1c(Nc2c(F)cnc(NS(=O)(=O)CC3CC3)c2Cl)ccc2ncn(C)c(=O)c12
CHEMBL1495034,CCN1CCN(C(=O)C2CCC(=O)N(CCCN3CCCC3=O)C2)CC1
CHEMBL363015,CCNC(=O)c1ccc(C(=C2CC3CCC(C2)N3Cc2ccoc2)c2ccc(C(C)=O)cc2)cc1
CHEMBL2323084,O=S(=O)(Nc1ccc(F)cn1)c1cc(F)c(Oc2ccc(Cl)cc2-c2ccnnc2)cc1F
CHEMBL4979973,Cc1oc(C(C)(C)C)cc1CN1CC[C@H](NS(C)(=O)=O)C1
CHEMBL4938090,CCN(CC(=O)c1ccco1)C1CCCCC1
CHEMBL6060523,Nc1nc2c(-c3ccc(S(=O)(=O)N4CCC(N)(CO)C4)c(S(N)(=O)=O)c3-c3nnn[nH]3)cccc2s1
CHEMBL1807806,Cc1c2c(n3c1CCN(C(=O)[C@@H](N)C(C)C)C[C@@H](C)[C@H](C)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O
CHEMBL4593816,O=C(Cn1cnc2sc(-c3ccccc3)cc2c1=O)Nc1nc(CN2CCCCC2)cs1
CHEMBL4107094,CCC[C@H]1C(=O)NN=C(c2ccc3nc(-c4ccccc4)oc3c2)[C@@H]1C
CHEMBL1508548,CC1CC(C)CN(CC(=O)NC(c2ccccc2)c2ccccc2)C1.O=C(O)C(=O)O
CHEMBL3775566,CC(=O)O[C@H]1CC[C@](C)(O)[C@]23OC(C)(C)[C@H]([C@H](OC(=O)/C=C/c4ccccc4)[C@H](OC(=O)c4ccccc4)[C@]12C)[C@H]3OS(C)(=O)=O
CHEMBL1300915,CCN(c1ccc(NC(=O)CN2C(=O)NC3(CCOc4ccccc43)C2=O)cc1)C(C)C
CHEMBL325596,O=C1NS(=O)(=O)CC12c1ccccc1-c1ccc(Cl)cc12
